what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1275607729740
ws,sysinfo,,,"win32",1275607729740
locale,sysinfo,,,"en_SG",1275607729740
processors,sysinfo,,,"2",1275607729740
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1275607729740
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1275607729740
java.specification.name,sysinfo,,,"Java Platform API Specification",1275607729740
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1275607729740
java.specification.version,sysinfo,,,"1.6",1275607729740
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1275607729740
java.version,sysinfo,,,"1.6.0_20",1275607729740
java.vm.info,sysinfo,,,"mixed mode, sharing",1275607729740
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1275607729740
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1275607729740
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1275607729740
java.vm.specification.version,sysinfo,,,"1.0",1275607729740
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1275607729740
java.vm.version,sysinfo,,,"16.3-b01",1275607729740
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275607784372
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275607786655
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275607786735
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1275607786845
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1275607786985
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.ide.ant",1275607786985
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1275607786985
stopped,bundle,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.adt",1275607786985
stopped,bundle,org.eclipse.mylyn.java.tasks,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.tasks",1275607786995
stopped,bundle,org.eclipse.mylyn.java.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.ui",1275607786995
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1275607786995
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1275607786995
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1275607786995
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.204.v200909021537,"org.eclipse.wst.xsd.ui",1275607786995
stopped,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1275607786995
stopped,bundle,org.eclipse.wst.common.ui,1.1.402.v200901262305,"org.eclipse.wst.common.ui",1275607786995
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1275607787005
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1275607787015
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1275607787015
stopped,bundle,org.eclipse.mylyn.ide.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.ide.ui",1275607787015
stopped,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1275607787015
stopped,bundle,org.eclipse.mylyn.resources.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.resources.ui",1275607787015
