what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619787139
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619787424
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619787521
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619787792
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619787884
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619788383
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619788627
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619942546
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275619943393
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275620003088
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1275620006345
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1275620007304
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275620015735
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275620015750
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275620017584
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275620020415
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275620028422
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275620031635
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275620031651
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275620053280
error,log,,,"Referenced part does not exist yet: org.eclipse.ui.views.ProblemView.",1275620053296
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugView",1275620053665
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.VariableView",1275620053768
opened,view,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.views.LogCatView",1275620053917
activated,perspective,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugPerspective",1275620053993
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1275620060902
activated,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugView",1275620068217
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1275620076679
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1275620077189
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1275620077632
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1275620078241
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1275620078334
activated,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugView",1275620104184
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1275620104219
closed,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugView",1275620104237
started,bundle,org.eclipse.mylyn.ide.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.ide.ui",1275620107190
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.BreakpointView",1275620107252
activated,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.BreakpointView",1275620107273
opened,view,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.views.DeviceView",1275620114636
opened,view,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1275620114776
opened,view,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.views.ThreadView",1275620114819
activated,perspective,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.Perspective",1275620114851
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1275620114872
executed,command,,,"com.android.ide.eclipse.ddms.Perspective",1275620114872
